Time,Score
2023-05-01 00:00:00,91
2023-05-02 00:00:00,96
2023-05-03 00:00:00,96
2023-05-04 00:00:00,92
2023-05-05 00:00:00,96
2023-05-06 00:00:00,96
2023-05-07 00:00:00,96
2023-05-08 00:00:00,94
2023-05-09 00:00:00,96
2023-05-10 00:00:00,96
2023-05-11 00:00:00,96
2023-05-12 00:00:00,96
2023-05-13 00:00:00,96
2023-05-14 00:00:00,89
2023-05-15 00:00:00,92
2023-05-16 00:00:00,96
2023-05-16 00:00:00,96
2023-05-17 08:13:26,96
2023-05-17 08:28:26,96
2023-05-17 08:43:27,96
2023-05-17 08:58:28,96
2023-05-17 09:13:29,96
2023-05-17 09:28:30,96
2023-05-17 09:43:32,96
2023-05-17 09:58:33,96
2023-05-17 10:13:33,96
2023-05-17 10:28:35,96
2023-05-17 10:43:36,96
2023-05-17 10:58:37,96
2023-05-17 11:13:38,96
2023-05-17 11:28:44,96
2023-05-17 11:43:46,95
2023-05-17 11:58:52,96
2023-05-17 12:13:58,96
2023-05-17 12:29:00,96
2023-05-17 12:44:04,96
2023-05-17 12:59:08,96
2023-05-17 13:14:09,96
2023-05-17 13:29:13,96
2023-05-17 13:44:15,96
2023-05-17 13:59:17,96
2023-05-17 14:14:21,96
2023-05-17 14:29:25,96
2023-05-17 14:44:30,96
2023-05-17 14:59:34,96
2023-05-17 15:14:38,96
2023-05-17 15:29:42,96
2023-05-17 15:44:45,96
2023-05-17 15:59:47,96
2023-05-17 16:14:49,96
2023-05-17 16:29:50,96
2023-05-17 16:44:53,96
2023-05-17 16:59:56,96
2023-05-17 17:14:58,96
2023-05-17 17:30:00,96
2023-05-17 17:45:05,96
2023-05-17 18:00:06,96
2023-05-17 18:15:08,96
2023-05-17 18:30:09,95
2023-05-17 18:45:10,94
2023-05-17 19:00:10,93
2023-05-17 19:15:12,93
2023-05-17 19:30:13,93
2023-05-17 19:45:14,93
2023-05-17 20:00:15,93
2023-05-17 20:15:16,93
2023-05-17 20:30:17,93
2023-05-17 20:45:19,93
2023-05-17 21:00:20,93
2023-05-17 21:15:21,93
2023-05-17 21:30:22,93
2023-05-17 21:45:23,93
2023-05-17 22:00:24,93
2023-05-17 22:15:27,93
2023-05-17 22:30:28,93
2023-05-17 22:45:30,93
2023-05-17 23:00:31,93
2023-05-17 23:15:32,93
2023-05-17 23:30:33,93
2023-05-17 23:45:34,93
2023-05-18 00:00:36,93
2023-05-18 00:15:37,93
2023-05-18 00:30:38,93
2023-05-18 00:45:39,93
2023-05-18 01:00:40,93
2023-05-18 01:15:42,93
2023-05-18 01:30:43,93
2023-05-18 01:45:44,93
2023-05-18 02:00:45,93
2023-05-18 02:15:46,93
2023-05-18 02:30:48,93
2023-05-18 02:45:49,93
2023-05-18 03:00:50,93
2023-05-18 03:15:51,93
2023-05-18 03:30:52,93
2023-05-18 03:45:53,93
2023-05-18 04:00:54,93
2023-05-18 04:15:55,93
2023-05-18 04:30:57,93
2023-05-18 04:45:58,93
2023-05-18 05:00:59,93
2023-05-18 05:16:00,93
2023-05-18 05:31:01,93
2023-05-18 05:46:03,93
2023-05-18 06:01:04,93
2023-05-18 06:16:05,93
2023-05-18 06:31:06,93
2023-05-18 06:46:07,93
2023-05-18 07:01:08,93
2023-05-18 07:16:10,93
2023-05-18 07:31:11,93
2023-05-18 07:46:12,93
2023-05-18 08:01:13,93
2023-05-18 08:16:14,93
2023-05-18 08:31:15,93
2023-05-18 08:46:16,93
2023-05-18 09:01:17,93
2023-05-18 09:16:21,92
2023-05-18 09:31:23,91
2023-05-18 09:46:24,90
2023-05-18 10:01:25,89
2023-05-18 10:16:33,90
2023-05-18 10:31:43,90
2023-05-18 10:46:52,90
2023-05-18 11:01:56,90
2023-05-18 11:16:57,90
2023-05-18 11:31:58,90
2023-05-18 11:46:59,90
2023-05-18 12:02:01,90
2023-05-18 12:17:02,90
2023-05-18 12:32:03,90
2023-05-18 12:47:04,90
2023-05-18 13:02:06,90
